Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
59207,LW,Viktor,Arvidsson,1.4,4,3000,NSH@PHI,NSH,PHI,,
21732,D,Anthony,Bitetto,-0.6,1,3000,NSH@PHI,NSH,PHI,,
9076,RW,Viktor,Tikhonov,0.2,11,3000,CHI@ANH,CHI,ANH,,
43206,RW,Joel,Vermin,1.7,2,3000,TB@WAS,TB,WAS,,
54194,D,Josh,Manson,0.8,13,3000,CHI@ANH,ANH,CHI,,
59117,LW,Nick,Ritchie,0.8,6,3000,CHI@ANH,ANH,CHI,,
43186,D,Viktor,Svedberg,0.9,15,3000,CHI@ANH,CHI,ANH,,
43188,RW,Kurtis,Gabriel,0.8,2,3000,WPG@MIN,MIN,WPG,,
62396,RW,Christoph,Bertschy,0.4,3,3000,WPG@MIN,MIN,WPG,,
21649,D,Zach,Trotman,1.4,9,3000,NYR@BOS,BOS,NYR,,
43176,RW,Ryan,Hartman,0.7,3,3000,CHI@ANH,CHI,ANH,,
11119,D,Nate,Prosser,0.8,13,3000,WPG@MIN,MIN,WPG,,
15362,RW,Alexander,Khokhlachev,0.1,2,3000,NYR@BOS,BOS,NYR,O,Hand
9158,D,Clayton,Stoner,1.1,20,3000,CHI@ANH,ANH,CHI,,
8603,C,Max,Talbot,-0.1,7,3000,NYR@BOS,BOS,NYR,,
39240,LW,Luke,Witkowski,0.3,3,3000,TB@WAS,TB,WAS,,
62785,D,Yevgeni,Medvedev,0.8,11,3000,NSH@PHI,PHI,NSH,,
42705,C,Colton,Sissons,2.3,5,3000,NSH@PHI,NSH,PHI,,
